Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
9815847,The Elements of Content Strategy,Erin Kissane,"Kissane, Erin",,"=""""","=""""",0,3.74,A Book Apart,Paperback,88,2011,2011,,2015/04/19,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
21889359,The Art of Application Performance Testing: From Strategy to Tools,Ian Molyneaux,"Molyneaux, Ian",,"=""1491900547""","=""9781491900543""",0,3.68,O'Reilly Media,Paperback,278,2015,2014,,2015/04/28,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
28789828,Unlocking the Magic of Facilitation: 11 Key Concepts You Didn't Know You Didn't Know,Sam Killermann,"Killermann, Sam",Meg Bolger,"=""""","=""""",4,4.02,Impetus Books,Kindle Edition,133,2016,,2017/10/10,2017/05/01,,,read,K facilitaci jsem se dostal díky Coderetreatu a postupem času jsem začal chápat co dělám špatně a co se daří. Pak jsem poznal Vaška Lavičku a začal jsem za facilitací vidět mnohem náročnější disciplínu než jsem si zpočátku myslel. Každopádně je to skvělý způsob učení a vzdělávání.<br/><br/>Tahle kniha přináší spoustu postřehů a zkušeností z facilitační praxe. Rozhodně doporučuji.,,,1,,,0,,,,,
31159768,Elements of Clojure,Zachary Tellman,"Tellman, Zachary",,"=""""","=""""",0,4.24,Leanpub,ebook,120,2019,,,2017/09/16,currently-reading,currently-reading (#9),currently-reading,,,,1,,,0,,,,,
19201113,Parallel Programming with Microsoft® .NET: Design Patterns for Decomposition and Coordination on Multicore Architectures (Patterns & Practices),Colin Campbell,"Campbell, Colin","Ralph Johnson, Ade Miller, Stephen Toub","=""""","=""""",4,3.70,Microsoft Press,Kindle Edition,224,2010,2010,2010/10/20,2014/06/05,my-background,my-background (#14),read,,,,1,,,0,,,,,
18652792,Inspired: How To Create Products Customers Love,Marty Cagan,"Cagan, Marty",,"=""""","=""9780981690414""",0,4.25,SVPG Press,Kindle Edition,241,2008,2008,,2017/01/20,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
28700420,Practical Feng Shui For The Office: Finding Your Individual Balance in the Workplace,Kathryn Wilking,"Wilking, Kathryn",,"=""""","=""""",4,4.00,,Kindle Edition,142,2015,,2017/01/20,2017/01/15,my-background,my-background (#79),read,,,,1,,,0,,,,,
19371979,One Small Step Can Change Your Life: The Kaizen Way,Robert Maurer,"Maurer, Robert",,"=""0761129235""","=""""",5,4.08,Workman Publishing Company,Hardcover,228,2004,2009,2013/08/21,2014/01/02,"my-background, favorites","my-background (#78), favorites (#26)",read,,,,1,,,1,,,unspecified,,
22719521,The Docker Book: Containerization is the new virtualization,James Turnbull,"Turnbull, James",,"=""""","=""""",0,3.95,James Turnbull,Kindle Edition,246,2014,2014,2016/01/05,2014/09/02,my-background,my-background (#77),read,,,,1,,,0,,,,,
23827335,Extreme Programming Explained: Embrace Change,Kent Beck,"Beck, Kent",Cynthia Andres,"=""""","=""""",0,4.08,Addison-Wesley Professional,Kindle Edition,218,2004,1999,2016/01/05,2014/12/25,my-background,my-background (#76),read,,,,1,,,0,,,,,
